Pregunta;Tipo;Certamen;Respuesta
¿Que entiende por resolver un CSP?;D;C1;Corresponde a encontrar un valor para cada variable de tal manera que todas restricciones sean satisfechas.
¿Que entiende por Fase de Transicion?;D;C1;Zona de transicion corresponde a la zona en donde residen los problemas con una cantidad mediana de restricciones, que por cierto son los con mayor dificultad. Aquellos con muchas restricciones se acercan a la trivialidad y resulta sencillo darse cuenta si son factibles o no. Por el otro lado, aquellos con muy pocas restricciones dan espacio para un conjunto de soluciones muy grande.
Al aplicar Filtro y Consistencia, un problema P se transforma en P∗ reduciendo siempre su Espacio de Busqueda;VF;C1;Falso, en los casos en que un problema ya es consistente, el aplicar estas tecnicas no deberia modificar los dominios.
Si un problema P es k-consistente, entonces tiene solucion;VF;C1;Falso, se puede asegurar que un problema k-consistente tiene solucion solo cuando dicho problema considera k variables
¿Como se forma el conjunto de conflicto en CBJ?;D;C1;Cada variable tiene asignado un conjunto de conflicto, y para cada valor inconsistente registrar en su conjunto de conflicto la variable mas prematuramente instanciada y en conflicto con el intento actual de instanciacion.
Las tecnicas completas revisan el espacio de busqueda completo buscando todas las soluciones;VF;C1;Verdadero
Explique el funcionamiento de Real Full Look Ahead;D;C1;Por cada asignacion de variable, se realiza arco consistencia con las variables por instanciar junto con la recien instanciada, cuyo dominio es solo el valor instanciado. Si durante la arco consistencia una variable queda con dominio vacío, ese valor queda como inconsistente y se pasa al siguiente.
Backtracking y Forward Checking siempre realizan chequeos en la primera instanciacion;VF;C1;Falso, Backtracking no realiza chequeos en la primera instanciacion puesto que no hay variables previamente asignadas con las cuales chequear consistencia.
Aplicar un ordenamiento dinamico (variable con dominio mas pequeño) siempre favorecera a GBJ;VF;C1;
¿Que ventajas tienen los algoritmos de busqueda completa sobre los de busqueda incompleta?;D;C2;Los algoritmos debusqueda completa, como su nombre lo dice, revisan todo el espacio de busqueda lo que les permite encontrar con certeza el optimo global. En cambio los algoritmos de busqueda incompleta podrian quedar estancados en optimos locales
¿Que entiende por representacion? y ¿podrıa ser definida de manera distinta al modelo?;D;C2;La representacion corresponde la forma en la que se presentan los datos. Puede ser definida distinta al modelo porque este ultimo trabaja con el formato mas comodo para optimizar las variables.
En Tabu Search siempre se deben almacenar las soluciones visitadas completas pues es la unica forma de asegurar que no se visiten otra vez;VF;C2;Falso, generalmente almacenar las soluciones completas llegar a ser muy costoso con soluciones no tan grandes. En cambio se intenta utilizar solo una porcion de la solucion que sufrio los cambios o la operaciones realizada para llegar a esa solucion
La lista tabu de Tabu Search se actualiza mediante protocolo LIFO y permite diversificar el proceso de busqueda de soluciones;VF;C2;Falso, la lista de Tabu Search se actualiza mediante FIFO para asegurar que no se re visiten soluciones visitadas recientemente.